,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KPIs - BY ACCOUNT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,
Hewlett-Packard - Puerto Rico - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Merck - Puerto Rico - TBH,,,,,,,,,,,,,,
Revenue ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount,, - , - , - , - , - , - , - , - , - , - , - , - ,
Separations ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims ,, - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables ,, - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Bristol Myers Squibb - Puerto Rico - Michael Barry,,,,,,,,,,,,,,
Revenue ($) , 147 , 135 , 139 , 124 , 129 , 130 , 132 , 147 , 146 , 151 , 149 , 129 , 129 ,
Growth (%) ,0.0%,-8.0%,-5.9%,-15.9%,-12.2%,-12.1%,-10.1%,-0.4%,-1.1%,2.8%,1.3%,-12.5%,-12.2%,
Gap ($) , - , - , - , (1), - , - , - , - , - , - , - , (5), - ,
Red Sites ($) , - , - , (1), (1), - , (0), (0), (0), - , - , - , (5), - ,
Red Sites (#) , - , - , 1 , 1 , - , 1 , 1 , 1 , - , - , - , 1 , - ,
Headcount, 39 , 39 , 40 , 37 , 37 , 37 , 36 , 39 , 38 , 38 , 37 , 35 , 35 ,
Separations , - , - , 3 , 3 , - , 1 , 1 , 1 , 1 , 1 , 2 , - , - ,
Turnover (%) ,0.0%,0.0%,7.5%,8.1%,0.0%,2.7%,2.8%,2.6%,2.6%,2.6%,5.4%,0.0%,0.0%,
CSAT , 4.46 , 4.63 , 4.75 , 4.57 , 4.69 , 4.50 , 4.44 , 4.57 , 4.57 , 4.38 , 4.57 , 4.63 , 4.50 ,
YTD Claims , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , 1 ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Johnson & Johnson - Puerto Rico - Isaac Calderon,,,,,,,,,,,,,,
Revenue ($) , 562 , 579 , 385 , 406 , 406 , 406 , 312 , 312 , 321 , 312 , 324 , 314 , 321 ,
Growth (%) ,0.0%,3.1%,-31.4%,-27.7%,-27.7%,-27.7%,-44.4%,-44.4%,-42.8%,-44.4%,-42.4%,-44.1%,-42.8%,
Gap ($) , (22), (9), (39), (37), (40), (14), (19), (23), (25), (35), (27), (46), - ,
Red Sites ($) , (42), (45), (47), (46), (47), (24), (30), (29), (38), (37), (38), (49), (18),
Red Sites (#) , 4 , 4 , 4 , 5 , 4 , 4 , 5 , 3 , 3 , 4 , 3 , 3 , 2 ,
Headcount, 182 , 178 , 137 , 149 , 142 , 137 , 113 , 113 , 112 , 113 , 113 , 110 , 108 ,
Separations , 5 , 14 , 2 , 5 , 5 , 6 , 6 , 5 , 4 , 5 , 3 , 2 , - ,
Turnover (%) ,2.7%,7.9%,1.5%,3.4%,3.5%,4.4%,5.3%,4.4%,3.6%,4.4%,2.7%,1.8%,0.0%,
CSAT , 4.41 , 4.27 , 4.13 , 3.53 , 4.07 , 3.97 , 4.15 , 4.69 , 4.66 , 4.60 , 4.63 , 4.57 , 4.41 ,
YTD Claims , 1 , - , - , 1 , 1 , 2 , 2 , 2 , 2 , 3 , 5 , 5 , 5 ,
YTD Recordables , 1 , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
TRIR , 0.77 , -   , -   , 3.04 , 2.32 , 1.88 , 1.66 , 1.44 , 1.29 , 1.17 , 1.06 , 0.98 , 0.91 ,
Price Waterhouse Coopers - Puerto Rico - Luis Velasco Quintana,,,,,,,,,,,,,,
Revenue ($) , 6 , 6 , 10 , 6 , 6 , 6 , 6 , 9 , 6 , 6 , 6 , 6 , 6 ,
Growth (%) ,0.0%,0.0%,85.9%,3.2%,3.2%,3.2%,3.2%,64.8%,3.2%,3.2%,10.6%,2.6%,4.0%,
Gap ($) , - , (0), - , (0), (0), (1), (1), - , (1), (1), - , (1), - ,
