,,BaseData,Actual,Final,USD Consolidated,Total Program,Total Cost Center
,,2025,2025,2025,2026,,
,,October,November,December,January,,
Above Base Services,Detroit Diesel Portfolio, -   ," 5,842 "," (1,411)"," 2,661 ",,
Above Base Services,Ford Motor Company Portfolio," 318,620 "," 2,058,205 "," 948,429 "," 323,394 ",,
Above Base Services,General Motors Portfolio," 30,481 "," 16,723 "," 28,590 "," 35,568 ",,
Above Base Services,Hitachi Astemo Portfolio," 1,794 ", 265 , 255 , 409 ,,
Above Base Services,Honda Motor Company Portfolio," 163,837 "," 143,805 "," 143,482 "," 165,371 ",,
Above Base Services,Mercedes Benz Portfolio," 2,348 ", -   , -   , -   ,,
Above Base Services,Stellantis Portfolio," (166,459)"," (31,197)"," (42,459)"," 4,164 ",,
Above Base Services,Delta Air Lines Portfolio," 24,659 "," 52,926 "," 46,644 "," 308,572 ",,
Above Base Services,Southwest Airlines Portfolio, -   , -   , -   ," 1,024 ",,
Above Base Services,Amazon Office Portfolio," 917,041 "," 213,773 "," 605,660 "," 424,058 ",,
Above Base Services,Amazon Portfolio," 17,965 "," 1,961 ", 475 ," 3,311 ",,
Above Base Services,DP World Portfolio, 269 ," 3,139 "," 5,478 "," 4,730 ",,
Above Base Services,Charles Schwab Portfolio," 38,299 "," 35,102 "," 38,073 "," 61,063 ",,
Above Base Services,CIGNA Portfolio, -   , -   , -   ," 1,031 ",,
Above Base Services,Citibank Portfolio, 273 , 449 ," 1,523 ", 540 ,,
Above Base Services,Deutsche Bank Portfolio," 45,955 "," 33,815 "," 61,170 "," 32,899 ",,
Above Base Services,Elevance Health Portfolio," 6,461 "," 8,072 "," 2,927 "," 4,360 ",,
Above Base Services,Fidelity Portfolio," 29,328 "," 32,335 "," 27,347 "," 35,996 ",,
Above Base Services,Geico Portfolio," 4,000 "," 2,450 ", -   ," 2,089 ",,
Above Base Services,Goldman Sachs Group Portfolio, 434 , 912 , 434 , 434 ,,
Above Base Services,MetLife Insurance Portfolio," 7,079 "," 4,284 "," 3,424 ", 740 ,,
Above Base Services,State Farm Ins Portfolio," 6,100 "," 2,190 "," 9,884 "," 3,800 ",,
Above Base Services,Swiss Re Portfolio, -   , -   , 670 , -   ,,
Above Base Services,Thomson Reuters Corp Portfolio, -   ," 7,800 ", -   , -   ,,
Above Base Services,Transwestern Portfolio, -   , -   ," 2,522 ", -   ,,
Above Base Services,T Rowe Price Portfolio," 2,834 ", -   ," 1,995 ", -   ,,
Above Base Services,USAA Portfolio," 7,070 ", (853)," 26,273 "," 10,150 ",,
Above Base Services,Wells Fargo Portfolio," 370,549 "," 289,116 "," 262,375 "," 335,665 ",,
Above Base Services,Abbott Labs Portfolio," 109,198 "," 140,719 "," 191,125 "," 199,251 ",,
Above Base Services,AbbVie Portfolio," 13,737 "," 24,356 "," 33,699 "," 4,491 ",,
Above Base Services,Altos Labs Portfolio," 4,793 ", -   ," 3,941 "," 5,419 ",,
Above Base Services,Amgen Portfolio," 305,916 "," 365,321 "," 242,061 "," 343,364 ",,
Above Base Services,Avid Biodevices Portfolio," 84,800 "," 86,347 "," 70,555 "," 82,732 ",,
Above Base Services,Bayer Portfolio," 55,178 "," 69,183 "," 52,929 "," 139,922 ",,
