,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KPIs - BY ACCOUNT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,
Adient - TBH,,,,,,,,,,,,,,
Revenue ($) , 34 , 34 , 34 , 35 , 34 , 34 , 34 , 34 , 34 , 34 , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-100.0%,-100.0%,-100.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , (0), - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , (0), - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,
Headcount, 5 , 6 , 6 , 6 , 6 , 5 , 5 , 5 , 5 , 4 , - , - , - ,
Separations , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,16.7%,0.0%,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT , 3.75 , 3.00 , 4.75 , 4.75 , 4.25 , 4.50 , 4.25 , 3.75 , 3.75 , 3.75 ,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Honda Motor Company - Greyson Wolff,,,,,,,,,,,,,,
Revenue ($) , 891 , 867 , 927 , 901 , 887 , 925 , 923 , 880 , 925 ," 1,031 "," 1,007 ", 899 , 953 ,
Growth (%) ,0.0%,-2.7%,4.1%,1.1%,-0.5%,3.8%,3.6%,-1.2%,3.9%,15.8%,13.1%,0.9%,7.0%,
Gap ($) , - , - , - , - , - , - , (7), - , - , - , - , - , - ,
Red Sites ($) , (17), (9), (5), (1), (12), (8), (19), (26), (2), (0), (2), (15), (5),
Red Sites (#) , 4 , 3 , 4 , 2 , 6 , 4 , 4 , 4 , 2 , 1 , 1 , 4 , 3 ,
Headcount, 145 , 151 , 148 , 156 , 153 , 153 , 161 , 156 , 155 , 167 , 163 , 173 , 167 ,
Separations , 7 , 6 , 13 , 12 , 14 , 21 , 12 , 16 , 16 , 11 , 15 , 8 , 7 ,
