Account,IFM
3M Corp,CBRE
Abbott Labs,Direct
Abbott Labs - Costa Rica,Direct
AbbVie,CBRE
Adobe Systems,CBRE
Advant Medical - Costa Rica,Direct
Air 7 - Singapore,Alfatech
Altera,JLL
Altos Labs,Direct
Amazon,CBRE
Amazon,Direct
Amazon - Singapore,Direct
Amazon Office,JLL
AMD,C&W
Amgen,Hines
Amgen,JLL
Amgen - Singapore,Direct
Anheuser Busch,Aramark
AT&T - Singapore,CBRE
Avid Biodevices,Direct
Baker Hughes - Singapore,Direct
Ball Corporation,CBRE
Banco Interamericano - Costa Rica,Direct
Baxter - Costa Rica,Direct
Bayer,Direct
Bayer,Emcor
Bayer,JLL
Bayer - Costa Rica,Direct
Baylis Medical - Costa Rica,Direct
Becton Dickinson - Singapore,JLL
Benaroya Hall,Direct
Bio-Rad Laboratories,Direct
Biogen,CBRE
Bluerock Therapeutics,Direct
Boehringer Ingelheim,CBRE
Boeing Company,JLL
Boston Scientific,Direct
Boston Scientific - Costa Rica,Direct
Boxer Property Management,Direct
Bristol Myers Squibb,JLL
Bristol Myers Squibb - Puerto Rico,JLL
Brown Health University,Direct
Capital Center Building,Direct
Capsida Biotherapeutics,Direct
Cardinal Health,Direct
Cardinal Health,JLL
Carlson Wagonlet Travel - Costa Rica,Direct
Cathedral Office Building,Direct
Charles Schwab,Direct
Chemours Company,CBRE
Chubb Insurance,CBRE
CIGNA,CBRE
CIGNA,Direct
Cincinnati Childrens' Hospital,Direct
Citibank,C&W
Citibank - Singapore,CBRE
CLARO Telecom - Costa Rica,Direct
Clicklease - Costa Rica,Direct
Clorox Company,CBRE
Coca-Cola,CBRE
Colegio de Ingeni - Costa Rica,Direct
Coloplast - Costa Rica,Direct
Computershare,Direct
Computershare,JLL
Contract Workplaces - Costa Rica,Direct
Convera - Costa Rica,Direct
CooperVision - Costa Rica,Direct
Covestro,Direct
Covidien - Costa Rica,Direct
CPI Satcom,Direct
Cregenna Connectivity - Costa Rica,Direct
Cretex - Costa Rica,Direct
Cummins,C&W
Cytiva - Puerto Rico,Direct
Danfoss Power Solutions,Amentum
Databricks - Costa Rica,Direct
DB Schenker,Direct
DBS Asia Hub - Singapore,JLL
Deloitte - Costa Rica,Direct
Delta Air Lines,JLL
Detroit Diesel,Leadec
Deutsche Bank,CBRE
Dispal - Costa Rica,Direct
DP World,Direct
DuPont,Direct
DXC Technology - Costa Rica,CBRE
Edged Energy,JLL
Edwards Dry - Costa Rica,Direct
Elanco Animal Health Inc,CBRE
Elevance Health,C&W
Elevance Health,Direct
Eli Lilly,CBRE
Equifax - Costa Rica,Direct
Falcon - Malaysia,JLL
Fanatics,JLL
Fidelity,CBRE
Firmenich - Singapore,CBRE
Fluor - Eli Lilly,Fluor
Ford Motor Company,CBRE
Ford Motor Company,Leadec
Founders 3 Real Estate,Direct
Freudenberg Medical - Costa Rica,Direct
Fuji Film,Direct
Gallo Wine,Direct
GE Healthcare,Direct
GE Power,Amentum
Geico,CBRE
Genentech,JLL
Gener8 - Costa Rica,Direct
General Dynamics,Direct
General Electric,CBRE
General Electric,Direct
General Electric,JLL
General Motors,CBRE
General Motors,Leadec
Gilead Sciences,Direct
GlaxoSmithKline,CBRE
GlaxoSmithKline,Direct
Goldman Sachs Group,CBRE
Google,Amentum
Google,C&W
Google,Direct
Google,JLL
Great American Ball Park,Direct
GXO Logistics,Direct
Hasbro,JLL
Hewlett-Packard,JLL
Hewlett-Packard - Costa Rica,JLL
