,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KPIs - BY ACCOUNT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,
Abbott Labs - Gregory Demedio,,,,,,,,,,,,,,
Revenue ($) ," 1,700 "," 1,639 "," 1,663 "," 1,629 "," 1,666 "," 1,600 "," 1,599 "," 1,655 "," 1,666 "," 1,694 "," 1,667 "," 1,616 "," 1,713 ",
Growth (%) ,0.0%,-3.6%,-2.1%,-4.2%,-2.0%,-5.8%,-5.9%,-2.6%,-2.0%,-0.3%,-1.9%,-4.9%,0.8%,
Gap ($) , - , - , - , - , - , - , (12), - , - , - , (9), - , - ,
Red Sites ($) , (16), (37), (27), (27), (32), (30), (47), (32), (34), (37), (37), (41), (41),
Red Sites (#) , 13 , 15 , 18 , 19 , 16 , 12 , 21 , 16 , 15 , 17 , 14 , 11 , 10 ,
Headcount, 261 , 259 , 263 , 261 , 260 , 262 , 266 , 271 , 266 , 270 , 274 , 277 , 278 ,
Separations , 5 , 6 , 4 , 6 , 5 , 1 , 6 , 7 , 8 , 9 , 4 , 3 , 3 ,
Turnover (%) ,1.9%,2.3%,1.5%,2.3%,1.9%,0.4%,2.3%,2.6%,3.0%,3.3%,1.5%,1.1%,1.1%,
CSAT , 4.51 , 4.38 , 4.51 , 4.35 , 4.64 , 4.64 , 4.63 , 4.67 , 4.53 , 4.56 , 4.55 , 4.50 , 4.49 ,
YTD Claims , 6 , - , - , - , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 3 , 3 ,
YTD Recordables , 3 , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
TRIR , 1.18 , -   , -   , -   , 1.19 , 0.96 , 0.80 , 0.68 , 0.60 , 0.53 , 0.47 , 0.44 , 0.40 ,
AbbVie - Corey Wallace,,,,,,,,,,,,,,
Revenue ($) , 259 , 265 , 259 , 273 , 253 , 265 , 264 , 210 , 266 , 245 , 235 , 263 , 278 ,
Growth (%) ,0.0%,2.3%,0.2%,5.6%,-2.4%,2.3%,2.0%,-19.0%,2.9%,-5.4%,-9.1%,1.7%,7.2%,
Gap ($) , - , (2), (4), (3), (8), (4), (6), - , (4), (5), (9), (18), (0),
Red Sites ($) , (5), (4), (11), (8), (10), (9), (9), (11), (9), (8), (13), (23), (14),
Red Sites (#) , 2 , 3 , 4 , 4 , 4 , 4 , 2 , 4 , 3 , 3 , 3 , 3 , 2 ,
Headcount, 46 , 44 , 46 , 48 , 48 , 48 , 51 , 48 , 46 , 47 , 47 , 48 , 49 ,
Separations , - , 2 , - , 1 , - , 1 , 1 , 3 , - , - , - , 1 , 2 ,
Turnover (%) ,0.0%,4.5%,0.0%,2.1%,0.0%,2.1%,2.0%,6.3%,0.0%,0.0%,0.0%,2.1%,4.1%,
CSAT , 4.94 , 4.94 , 5.00 , 4.94 , 4.90 , 4.94 , 4.94 , 4.88 , 4.88 , 4.66 , 4.85 , 4.94 , 4.81 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 ,
TRIR , -   , -   , -   , -   , -   , -   , -   , 4.78 , 4.21 , 3.76 , 3.37 , 3.11 , 2.86 ,
Abenza - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Alexion Pharmaceuticals - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Altos Labs - TBH,,,,,,,,,,,,,,
Revenue ($) , 42 , 43 , 45 , 90 , 54 , 56 , 55 , 55 , 56 , 55 , 57 , 54 , 53 ,
Growth (%) ,0.0%,1.4%,6.9%,113.7%,28.0%,32.5%,30.4%,30.7%,33.4%,29.9%,35.7%,27.7%,26.7%,
Gap ($) , - , (3), - , - , - , - , - , - , - , (0), - , (2), - ,
Red Sites ($) , - , (3), - , - , - , - , - , - , - , (0), - , (2), - ,
Red Sites (#) , - , 1 , - , - , - , - , - , - , - , 1 , - , 1 , - ,
Headcount, 5 , 5 , 5 , 5 , 6 , 6 , 7 , 6 , 7 , 7 , 7 , 7 , 7 ,
Separations , - , - , 1 , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT , 4.25 ,,,, 4.13 , 4.50 , 4.50 , 4.25 , 4.13 , 3.88 , 4.00 , 4.00 ,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Atara Biotherapeutics - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
BayHealth Berkeley - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Beiersdorf - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
