Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Benaroya Hall,TECHNOLOGY,Revenue ($),,,,,,,,,,,67,67,67
Benaroya Hall,TECHNOLOGY,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benaroya Hall,TECHNOLOGY,Gap ($),,,,,,,,,,-0,-19,-13,-19
Benaroya Hall,TECHNOLOGY,Red Sites ($),,,,,,,,,,-0,-19,-13,-19
Benaroya Hall,TECHNOLOGY,Red Sites (#),,,,,,,,,,1,1,1,1
Benaroya Hall,TECHNOLOGY,Headcount,,,,,,,,,,6,9,9,9
Benaroya Hall,TECHNOLOGY,Separations,,,,,,,,,,,,1,
Benaroya Hall,TECHNOLOGY,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0
Benaroya Hall,TECHNOLOGY,CSAT,,,,,,,,,,,2.75,4.25,4.25
Benaroya Hall,TECHNOLOGY,YTD Claims,,,,,,,,,,,,,
Benaroya Hall,TECHNOLOGY,YTD Recordables,,,,,,,,,,,,,
Benaroya Hall,TECHNOLOGY,TRIR,,,,,,,,,,,,,
