Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
DuPont,MANUFACTURING,Revenue ($),200,109,65,67,56,46,43,43,43,44,40,41,42
DuPont,MANUFACTURING,Growth (%),0.0,-45.3,-67.3,-66.6,-71.9,-76.9,-78.5,-78.3,-78.3,-78.1,-79.8,-79.4,-78.9
DuPont,MANUFACTURING,Gap ($),,-5,-5,-1,-2,,,,,,,,
DuPont,MANUFACTURING,Red Sites ($),-9,-5,-7,-1,-2,-1,,-0,,-1,,-1,-2
DuPont,MANUFACTURING,Red Sites (#),2,3,2,2,2,1,,1,,1,,1,1
DuPont,MANUFACTURING,Headcount,37,20,18,18,15,14,14,13,14,13,13,12,10
DuPont,MANUFACTURING,Separations,2,2,3,1,1,,2,2,,,1,,2
DuPont,MANUFACTURING,Turnover (%),5.4,10.0,16.7,5.6,6.7,0.0,14.3,15.4,0.0,0.0,7.7,0.0,20.0
DuPont,MANUFACTURING,CSAT,4.50,4.88,4.63,4.69,4.38,4.75,4.63,4.75,5.00,4.63,4.75,5.00,4.63
DuPont,MANUFACTURING,YTD Claims,1,,,,,,,,,,,,
DuPont,MANUFACTURING,YTD Recordables,1,,,,,,,,,,,,
DuPont,MANUFACTURING,TRIR,3.19,,,,,,,,,,,,
Westinghouse,MANUFACTURING,Revenue ($),264,278,274,276,296,297,298,300,312,324,323,327,327
Westinghouse,MANUFACTURING,Growth (%),0.0,5.2,3.9,4.5,12.0,12.6,12.7,13.7,18.2,22.6,22.5,23.8,23.7
Westinghouse,MANUFACTURING,Gap ($),,,,-11,,,,,,,,,
Westinghouse,MANUFACTURING,Red Sites ($),,-0,,-13,-2,-2,-2,-2,-2,,,,-1
Westinghouse,MANUFACTURING,Red Sites (#),,1,,3,1,1,2,1,1,,,,1
Westinghouse,MANUFACTURING,Headcount,44,44,48,51,52,51,52,51,51,52,58,53,56
Westinghouse,MANUFACTURING,Separations,3,,,1,,1,1,2,2,1,1,2,2
Westinghouse,MANUFACTURING,Turnover (%),6.8,0.0,0.0,2.0,0.0,2.0,1.9,3.9,3.9,1.9,1.7,3.8,3.6
Westinghouse,MANUFACTURING,CSAT,4.66,4.38,4.80,4.64,4.39,4.64,4.52,4.84,4.81,4.88,4.66,4.63,4.63
Westinghouse,MANUFACTURING,YTD Claims,,,,,,,,,,1,1,1,1
Westinghouse,MANUFACTURING,YTD Recordables,,,,,,,,,,1,1,1,1
Westinghouse,MANUFACTURING,TRIR,,,,,,,,,,3.04,2.70,2.47,2.25
