Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
USAA,FINANCE,Revenue ($),,,,,,,462,463,393,403,399,391,419
USAA,FINANCE,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USAA,FINANCE,Gap ($),,,,,,-0,-4,,,,-33,-34,
USAA,FINANCE,Red Sites ($),,,,,,-0,-4,,,,-33,-34,
USAA,FINANCE,Red Sites (#),,,,,,1,1,,,,1,1,
USAA,FINANCE,Headcount,,,,,,115,96,88,92,96,99,98,98
USAA,FINANCE,Separations,,,,,,,26,2,5,11,7,6,
USAA,FINANCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,27.1,2.3,5.4,11.5,7.1,6.1,0.0
USAA,FINANCE,CSAT,,,,,,,4.75,4.63,4.25,3.75,3.63,4.13,4.50
USAA,FINANCE,YTD Claims,,,,,,,,,,,,,
USAA,FINANCE,YTD Recordables,,,,,,,,,,,,,
USAA,FINANCE,TRIR,,,,,,,,,,,,,
