Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Merck,LIFE SCIENCE,Revenue ($),3745,4450,4200,4152,4326,4317,4229,4373,4171,4167,4283,4176,4077
Merck,LIFE SCIENCE,Growth (%),0.0,18.8,12.1,10.9,15.5,15.3,12.9,16.8,11.4,11.3,14.4,11.5,8.9
Merck,LIFE SCIENCE,Gap ($),,,,,,,,,,,-6,,
Merck,LIFE SCIENCE,Red Sites ($),-29,-35,-39,-36,-35,-39,-37,-49,-33,-29,-44,-33,-44
Merck,LIFE SCIENCE,Red Sites (#),8,11,12,11,12,9,8,8,8,7,9,5,7
Merck,LIFE SCIENCE,Headcount,353,351,350,353,349,347,345,342,339,337,329,341,345
Merck,LIFE SCIENCE,Separations,1,2,2,1,3,5,2,4,2,,5,1,
Merck,LIFE SCIENCE,Turnover (%),0.3,0.6,0.6,0.3,0.9,1.4,0.6,1.2,0.6,0.0,1.5,0.3,0.0
Merck,LIFE SCIENCE,CSAT,4.64,4.59,4.68,4.78,4.66,4.56,4.50,4.75,4.70,4.68,4.55,4.64,4.75
Merck,LIFE SCIENCE,YTD Claims,2,,,,,,,1,1,1,2,2,3
Merck,LIFE SCIENCE,YTD Recordables,2,,,,,,,1,1,1,2,2,3
Merck,LIFE SCIENCE,TRIR,0.56,,,,,,,0.52,0.46,0.41,0.73,0.66,0.91
