Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Eli Lilly,LIFE SCIENCE,Revenue ($),1710,1765,1666,1901,2221,2181,1979,2094,2001,2030,2046,2018,2075
Eli Lilly,LIFE SCIENCE,Growth (%),0.0,3.2,-2.6,11.2,29.9,27.5,15.7,22.4,17.0,18.7,19.6,18.0,21.3
Eli Lilly,LIFE SCIENCE,Gap ($),,,,,,,,-13,,-17,-13,,
Eli Lilly,LIFE SCIENCE,Red Sites ($),-0,-0,-0,-0,-0,-0,,-29,-1,-17,-22,-1,-1
Eli Lilly,LIFE SCIENCE,Red Sites (#),3,1,1,1,1,1,,2,2,4,2,2,2
Eli Lilly,LIFE SCIENCE,Headcount,318,335,332,364,378,383,393,395,392,391,404,394,399
Eli Lilly,LIFE SCIENCE,Separations,7,7,12,9,6,6,10,4,10,14,16,15,3
Eli Lilly,LIFE SCIENCE,Turnover (%),2.2,2.1,3.6,2.5,1.6,1.6,2.5,1.0,2.6,3.6,4.0,3.8,0.8
Eli Lilly,LIFE SCIENCE,CSAT,4.64,4.48,4.55,4.33,4.21,4.14,4.52,4.32,4.43,4.65,4.39,4.56,4.70
Eli Lilly,LIFE SCIENCE,YTD Claims,2,1,1,1,1,2,2,2,2,2,2,2,2
Eli Lilly,LIFE SCIENCE,YTD Recordables,2,1,1,1,1,2,2,2,2,2,2,2,3
Eli Lilly,LIFE SCIENCE,TRIR,0.68,3.80,1.96,1.26,0.90,1.41,1.16,0.97,0.84,0.74,0.66,0.60,0.82
