Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Wells Fargo,FINANCE,Revenue ($),2104,2050,2022,2035,1973,1991,2004,2102,2176,2174,2258,2123,2058
Wells Fargo,FINANCE,Growth (%),0.0,-2.6,-3.9,-3.3,-6.2,-5.4,-4.7,-0.1,3.4,3.3,7.3,0.9,-2.2
Wells Fargo,FINANCE,Gap ($),,,,,,,,,,,,-27,-123
Wells Fargo,FINANCE,Red Sites ($),-57,-47,-56,-45,-50,-44,-31,-39,-38,-51,-44,-131,-153
Wells Fargo,FINANCE,Red Sites (#),21,18,23,18,18,17,17,17,16,15,15,17,19
Wells Fargo,FINANCE,Headcount,361,352,351,342,347,336,338,368,362,362,357,369,369
Wells Fargo,FINANCE,Separations,7,7,5,11,2,7,14,6,10,8,10,6,4
Wells Fargo,FINANCE,Turnover (%),1.9,2.0,1.4,3.2,0.6,2.1,4.1,1.6,2.8,2.2,2.8,1.6,1.1
Wells Fargo,FINANCE,CSAT,4.43,4.51,4.46,4.14,4.48,4.33,4.44,4.39,4.47,4.50,4.40,4.47,4.48
Wells Fargo,FINANCE,YTD Claims,6,,,,,,,,,,3,3,3
Wells Fargo,FINANCE,YTD Recordables,4,,,,,,,,,,,,
Wells Fargo,FINANCE,TRIR,1.20,,,,,,,,,,,,
