Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Amazon,DISTRIBUTION,Revenue ($),5124,4786,4366,3139,3043,3211,3319,3363,3182,3073,3084,3165,3140
Amazon,DISTRIBUTION,Growth (%),0.0,-6.6,-14.8,-38.7,-40.6,-37.3,-35.2,-34.4,-37.9,-40.0,-39.8,-38.2,-38.7
Amazon,DISTRIBUTION,Gap ($),-282,-199,,,,,,-113,-70,-71,-67,-107,-183
Amazon,DISTRIBUTION,Red Sites ($),-457,-294,-23,-52,-21,-71,-164,-182,-157,-100,-90,-116,-241
Amazon,DISTRIBUTION,Red Sites (#),21,24,8,20,20,18,20,22,19,12,19,11,16
Amazon,DISTRIBUTION,Headcount,1164,1113,683,664,671,746,721,786,670,655,693,707,733
Amazon,DISTRIBUTION,Separations,88,85,77,56,82,64,108,64,86,64,55,60,30
Amazon,DISTRIBUTION,Turnover (%),7.6,7.6,11.3,8.4,12.2,8.6,15.0,8.1,12.8,9.8,7.9,8.5,4.1
Amazon,DISTRIBUTION,CSAT,4.19,4.35,4.50,3.01,4.79,4.69,4.68,4.64,4.69,4.67,4.47,4.63,4.76
Amazon,DISTRIBUTION,YTD Claims,13,1,1,2,3,3,3,5,7,10,10,10,11
Amazon,DISTRIBUTION,YTD Recordables,4,1,1,1,1,1,1,1,2,4,4,4,6
Amazon,DISTRIBUTION,TRIR,0.45,1.24,0.70,0.52,0.42,0.34,0.29,0.25,0.44,0.80,0.71,0.65,0.90
