Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Fluor,LIFE SCIENCE,Revenue ($),67,83,87,86,97,92,69,116,93,118,116,110,105
Fluor,LIFE SCIENCE,Growth (%),0.0,23.5,28.4,27.6,43.1,36.8,2.7,72.4,37.7,75.4,71.9,62.3,55.4
Fluor,LIFE SCIENCE,Gap ($),,,,,,,,,-3,,-1,-0,-1
Fluor,LIFE SCIENCE,Red Sites ($),,,,-0,,,,,-3,,-1,-0,-1
Fluor,LIFE SCIENCE,Red Sites (#),,,,1,,,,,1,,1,1,1
Fluor,LIFE SCIENCE,Headcount,14,16,17,15,19,21,24,26,22,25,26,29,27
Fluor,LIFE SCIENCE,Separations,5,1,,4,,2,,1,6,2,2,1,1
Fluor,LIFE SCIENCE,Turnover (%),35.7,6.3,0.0,26.7,0.0,9.5,0.0,3.8,27.3,8.0,7.7,3.4,3.7
Fluor,LIFE SCIENCE,CSAT,,,,,,,,,,4.00,,,2.25
Fluor,LIFE SCIENCE,YTD Claims,1,,,,,,,,,,,,
Fluor,LIFE SCIENCE,YTD Recordables,1,,,,,,,,,,,,
Fluor,LIFE SCIENCE,TRIR,10.99,,,,,,,,,,,,
