Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Elanco Animal Health Inc,LIFE SCIENCE,Revenue ($),78,77,75,82,79,78,77,78,78,75,75,75,66
Elanco Animal Health Inc,LIFE SCIENCE,Growth (%),0.0,-0.9,-3.7,5.2,0.7,-0.1,-0.9,0.1,-0.1,-4.0,-3.6,-4.3,-14.9
Elanco Animal Health Inc,LIFE SCIENCE,Gap ($),-6,-9,-4,-2,-5,-0,,,,-1,,,
Elanco Animal Health Inc,LIFE SCIENCE,Red Sites ($),-7,-11,-4,-5,-5,-1,,,-2,-4,-1,-0,-1
Elanco Animal Health Inc,LIFE SCIENCE,Red Sites (#),2,2,1,2,2,2,,,2,2,2,1,1
Elanco Animal Health Inc,LIFE SCIENCE,Headcount,20,19,17,16,16,16,16,16,16,16,12,11,11
Elanco Animal Health Inc,LIFE SCIENCE,Separations,1,1,,,,,,,,,1,,
Elanco Animal Health Inc,LIFE SCIENCE,Turnover (%),5.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0
Elanco Animal Health Inc,LIFE SCIENCE,CSAT,4.40,4.92,5.00,4.71,4.83,4.13,4.75,4.75,5.00,4.32,5.00,5.00,
Elanco Animal Health Inc,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Elanco Animal Health Inc,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Elanco Animal Health Inc,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
