Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Medtronic,LIFE SCIENCE,Revenue ($),476,479,466,492,484,512,513,536,523,559,628,587,586
Medtronic,LIFE SCIENCE,Growth (%),0.0,0.5,-2.2,3.3,1.6,7.4,7.6,12.4,9.7,17.3,31.7,23.1,23.0
Medtronic,LIFE SCIENCE,Gap ($),,-15,-13,-2,-26,,-4,,-5,-19,-20,-23,
Medtronic,LIFE SCIENCE,Red Sites ($),-7,-15,-18,-22,-26,-7,-8,-7,-15,-23,-27,-30,-1
Medtronic,LIFE SCIENCE,Red Sites (#),4,7,8,3,7,3,4,3,5,7,7,6,1
Medtronic,LIFE SCIENCE,Headcount,67,65,67,70,72,72,72,71,71,91,88,86,85
Medtronic,LIFE SCIENCE,Separations,1,1,,2,1,,,1,1,3,6,2,1
Medtronic,LIFE SCIENCE,Turnover (%),1.5,1.5,0.0,2.9,1.4,0.0,0.0,1.4,1.4,3.3,6.8,2.3,1.2
Medtronic,LIFE SCIENCE,CSAT,4.24,4.35,4.08,4.19,4.13,4.34,4.39,4.45,4.26,4.75,4.46,4.54,4.53
Medtronic,LIFE SCIENCE,YTD Claims,,,,,,,,,1,1,4,4,4
Medtronic,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Medtronic,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
Capsida Biotherapeutics,LIFE SCIENCE,Revenue ($),70,63,64,63,71,59,70,58,68,71,63,64,57
Capsida Biotherapeutics,LIFE SCIENCE,Growth (%),0.0,-10.3,-8.8,-9.9,1.4,-16.4,0.4,-16.5,-3.3,1.2,-10.6,-8.8,-18.1
Capsida Biotherapeutics,LIFE SCIENCE,Gap ($),-0,,,,,,-1,,-0,,,,
Capsida Biotherapeutics,LIFE SCIENCE,Red Sites ($),-0,,,,,,-1,,-0,,,,
Capsida Biotherapeutics,LIFE SCIENCE,Red Sites (#),1,,,,,,1,,1,,,,
Capsida Biotherapeutics,LIFE SCIENCE,Headcount,7,7,7,7,7,7,7,6,7,7,7,7,7
Capsida Biotherapeutics,LIFE SCIENCE,Separations,,,,,,,,,,,,,
Capsida Biotherapeutics,LIFE SCIENCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capsida Biotherapeutics,LIFE SCIENCE,CSAT,5.00,5.00,5.00,4.25,5.00,5.00,4.50,4.50,4.50,4.50,5.00,5.00,5.00
Capsida Biotherapeutics,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Capsida Biotherapeutics,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Capsida Biotherapeutics,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
Fuji Film,LIFE SCIENCE,Revenue ($),32,27,29,28,28,28,29,27,28,29,30,28,29
Fuji Film,LIFE SCIENCE,Growth (%),0.0,-13.5,-8.0,-10.7,-11.7,-10.8,-9.1,-14.1,-10.4,-7.5,-6.8,-13.1,-8.8
Fuji Film,LIFE SCIENCE,Gap ($),,,,,,,,,,-1,-1,-1,-0
Fuji Film,LIFE SCIENCE,Red Sites ($),,,,,,,,,,-1,-1,-1,-0
Fuji Film,LIFE SCIENCE,Red Sites (#),,,,,,,,,,1,1,1,1
Fuji Film,LIFE SCIENCE,Headcount,6,6,6,6,6,6,6,6,6,6,5,5,6
Fuji Film,LIFE SCIENCE,Separations,,,,,,,,,,1,,,
Fuji Film,LIFE SCIENCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0
Fuji Film,LIFE SCIENCE,CSAT,4.25,4.25,4.25,4.25,3.88,4.00,4.00,4.00,3.50,4.00,3.50,4.25,4.25
Fuji Film,LIFE SCIENCE,YTD Claims,2,,,,,,,,,,1,1,1
Fuji Film,LIFE SCIENCE,YTD Recordables,1,,,,,,,,,,,,
Fuji Film,LIFE SCIENCE,TRIR,19.46,,,,,,,,,,,,
