Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Meta,TECHNOLOGY,Revenue ($),3191,3210,3100,3048,3936,4105,3945,3645,3981,3968,3935,3973,4176
Meta,TECHNOLOGY,Growth (%),0.0,0.6,-2.9,-4.5,23.3,28.6,23.6,14.2,24.7,24.3,23.3,24.5,30.9
Meta,TECHNOLOGY,Gap ($),,,-54,-3,-27,,,,,,-21,,
Meta,TECHNOLOGY,Red Sites ($),-7,-3,-102,-27,-80,-31,-78,-13,-52,-35,-57,-27,-26
Meta,TECHNOLOGY,Red Sites (#),4,5,4,6,3,3,3,3,2,2,3,5,1
Meta,TECHNOLOGY,Headcount,345,343,338,411,419,414,406,409,403,400,402,429,437
Meta,TECHNOLOGY,Separations,,,,3,1,3,2,,3,1,1,1,6
Meta,TECHNOLOGY,Turnover (%),0.0,0.0,0.0,0.7,0.2,0.7,0.5,0.0,0.7,0.3,0.2,0.2,1.4
Meta,TECHNOLOGY,CSAT,4.70,4.20,4.66,4.52,4.44,4.54,4.65,4.65,4.29,4.44,4.64,4.60,4.74
Meta,TECHNOLOGY,YTD Claims,6,,,,1,2,2,2,2,2,3,6,6
Meta,TECHNOLOGY,YTD Recordables,3,,,,,1,1,1,1,1,1,2,2
Meta,TECHNOLOGY,TRIR,0.94,,,,,0.71,0.59,0.49,0.43,0.38,0.34,0.62,0.57
