Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Abbott Labs,LIFE SCIENCE,Revenue ($),1700,1639,1663,1629,1666,1600,1599,1655,1666,1694,1667,1616,1713
Abbott Labs,LIFE SCIENCE,Growth (%),0.0,-3.6,-2.1,-4.2,-2.0,-5.8,-5.9,-2.6,-2.0,-0.3,-1.9,-4.9,0.8
Abbott Labs,LIFE SCIENCE,Gap ($),,,,,,,-12,,,,-9,,
Abbott Labs,LIFE SCIENCE,Red Sites ($),-16,-37,-27,-27,-32,-30,-47,-32,-34,-37,-37,-41,-41
Abbott Labs,LIFE SCIENCE,Red Sites (#),13,15,18,19,16,12,21,16,15,17,14,11,10
Abbott Labs,LIFE SCIENCE,Headcount,261,259,263,261,260,262,266,271,266,270,274,277,278
Abbott Labs,LIFE SCIENCE,Separations,5,6,4,6,5,1,6,7,8,9,4,3,3
Abbott Labs,LIFE SCIENCE,Turnover (%),1.9,2.3,1.5,2.3,1.9,0.4,2.3,2.6,3.0,3.3,1.5,1.1,1.1
Abbott Labs,LIFE SCIENCE,CSAT,4.51,4.38,4.51,4.35,4.64,4.64,4.63,4.67,4.53,4.56,4.55,4.50,4.49
Abbott Labs,LIFE SCIENCE,YTD Claims,6,,,,1,1,1,1,1,2,2,3,3
Abbott Labs,LIFE SCIENCE,YTD Recordables,3,,,,1,1,1,1,1,1,1,1,1
Abbott Labs,LIFE SCIENCE,TRIR,1.18,,,,1.19,0.96,0.80,0.68,0.60,0.53,0.47,0.44,0.40
