Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Bayer,LIFE SCIENCE,Revenue ($),505,502,502,502,508,519,527,512,506,515,519,515,511
Bayer,LIFE SCIENCE,Growth (%),0.0,-0.5,-0.5,-0.6,0.7,2.8,4.5,1.4,0.3,2.0,2.9,2.0,1.3
Bayer,LIFE SCIENCE,Gap ($),,,,,,,,,,,,,
Bayer,LIFE SCIENCE,Red Sites ($),-2,-2,-1,,-0,,-1,,,-2,-2,-3,-5
Bayer,LIFE SCIENCE,Red Sites (#),2,3,2,,1,,2,,,2,1,1,1
Bayer,LIFE SCIENCE,Headcount,80,80,78,78,79,83,84,83,83,83,80,84,86
Bayer,LIFE SCIENCE,Separations,2,1,2,1,,1,1,,,1,2,1,1
Bayer,LIFE SCIENCE,Turnover (%),2.5,1.3,2.6,1.3,0.0,1.2,1.2,0.0,0.0,1.2,2.5,1.2,1.2
Bayer,LIFE SCIENCE,CSAT,4.53,4.62,4.58,4.44,4.49,4.49,4.54,4.12,4.61,4.61,4.83,4.57,4.67
Bayer,LIFE SCIENCE,YTD Claims,1,,,1,1,1,1,1,1,1,1,1,1
Bayer,LIFE SCIENCE,YTD Recordables,1,,,,,,,,,,,,
Bayer,LIFE SCIENCE,TRIR,1.40,,,,,,,,,,,,
Kenvue,LIFE SCIENCE,Revenue ($),90,127,123,139,142,134,68,52,70,73,70,82,86
Kenvue,LIFE SCIENCE,Growth (%),0.0,40.8,36.4,54.6,57.7,49.5,-24.0,-41.6,-21.9,-18.5,-22.2,-8.2,-4.5
Kenvue,LIFE SCIENCE,Gap ($),,-3,,-4,-10,-18,-6,-3,-8,-6,-6,-5,-9
Kenvue,LIFE SCIENCE,Red Sites ($),-3,-12,-2,-14,-10,-18,-6,-3,-8,-6,-6,-5,-9
Kenvue,LIFE SCIENCE,Red Sites (#),1,2,1,2,2,2,2,2,2,1,1,1,1
Kenvue,LIFE SCIENCE,Headcount,12,18,16,22,27,9,8,9,10,9,8,9,10
Kenvue,LIFE SCIENCE,Separations,,,4,1,,,,,,1,,,
Kenvue,LIFE SCIENCE,Turnover (%),0.0,0.0,25.0,4.5,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0
Kenvue,LIFE SCIENCE,CSAT,,,5.00,2.25,5.00,4.25,5.00,5.00,5.00,5.00,5.00,3.00,4.50
Kenvue,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Kenvue,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Kenvue,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
Johnson & Johnson,LIFE SCIENCE,Revenue ($),,,,,,,,,,,,,
Johnson & Johnson,LIFE SCIENCE,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnson & Johnson,LIFE SCIENCE,Gap ($),,-7,,-7,,,-2,,,,,,-16
Johnson & Johnson,LIFE SCIENCE,Red Sites ($),,,-0,,,,-0,,,,,,
Johnson & Johnson,LIFE SCIENCE,Red Sites (#),,,1,,,,2,,,,,,
Johnson & Johnson,LIFE SCIENCE,Headcount,,,,,,,,,,,,,
Johnson & Johnson,LIFE SCIENCE,Separations,,,,,,,,,,,,,
Johnson & Johnson,LIFE SCIENCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnson & Johnson,LIFE SCIENCE,CSAT,5.00,5.00,4.63,5.00,5.00,,5.00,4.25,5.00,4.50,4.50,4.50,5.00
Johnson & Johnson,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Johnson & Johnson,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Johnson & Johnson,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
MilliporeSigma,LIFE SCIENCE,Revenue ($),161,145,170,170,170,178,172,177,171,171,175,179,183
MilliporeSigma,LIFE SCIENCE,Growth (%),0.0,-9.5,5.6,5.6,6.0,10.7,7.3,10.1,6.5,6.5,8.6,11.3,14.1
MilliporeSigma,LIFE SCIENCE,Gap ($),,-2,,,-5,-0,,-1,,-5,-5,,
MilliporeSigma,LIFE SCIENCE,Red Sites ($),-0,-2,,,-5,-0,,-1,,-5,-5,,
MilliporeSigma,LIFE SCIENCE,Red Sites (#),1,1,,,1,1,,1,,1,1,,
MilliporeSigma,LIFE SCIENCE,Headcount,33,33,32,32,33,34,33,36,38,37,35,38,38
MilliporeSigma,LIFE SCIENCE,Separations,2,1,2,1,,,1,,1,1,5,,1
MilliporeSigma,LIFE SCIENCE,Turnover (%),6.1,3.0,6.3,3.1,0.0,0.0,3.0,0.0,2.6,2.7,14.3,0.0,2.6
MilliporeSigma,LIFE SCIENCE,CSAT,4.25,4.50,4.00,4.50,4.00,4.50,4.50,4.00,4.50,3.58,4.38,4.50,5.00
MilliporeSigma,LIFE SCIENCE,YTD Claims,1,,,,1,1,1,1,1,2,2,2,2
MilliporeSigma,LIFE SCIENCE,YTD Recordables,1,,,,1,1,1,1,1,1,1,1,1
MilliporeSigma,LIFE SCIENCE,TRIR,2.95,,,,11.20,8.80,7.27,6.22,5.49,4.87,4.32,3.98,3.68
Bluerock Therapeutics,LIFE SCIENCE,Revenue ($),13,14,15,14,14,15,14,14,7,5,8,7,7
Bluerock Therapeutics,LIFE SCIENCE,Growth (%),0.0,9.1,17.0,9.1,9.1,15.8,9.9,8.4,-47.0,-64.7,-36.7,-47.0,-43.9
Bluerock Therapeutics,LIFE SCIENCE,Gap ($),,-0,,,-2,-1,,,-1,-3,-0,-1,-2
Bluerock Therapeutics,LIFE SCIENCE,Red Sites ($),,-0,,,-2,-1,,,-1,-3,-0,-1,-2
Bluerock Therapeutics,LIFE SCIENCE,Red Sites (#),,1,,,1,1,,,1,1,1,1,1
Bluerock Therapeutics,LIFE SCIENCE,Headcount,2,2,2,2,2,2,2,1,1,1,1,1,1
Bluerock Therapeutics,LIFE SCIENCE,Separations,,,,,,,,,,,,,
Bluerock Therapeutics,LIFE SCIENCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bluerock Therapeutics,LIFE SCIENCE,CSAT,,,,,,,,,,,,,
Bluerock Therapeutics,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Bluerock Therapeutics,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Bluerock Therapeutics,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
