Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Yondr,TECHNOLOGY,Revenue ($),14,14,14,14,14,14,14,14,14,15,15,15,19
Yondr,TECHNOLOGY,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,11.6,11.6,38.5
Yondr,TECHNOLOGY,Gap ($),,,,,,,,,,,,,
Yondr,TECHNOLOGY,Red Sites ($),,,,,,,,,,,,,
Yondr,TECHNOLOGY,Red Sites (#),,,,,,,,,,,,,
Yondr,TECHNOLOGY,Headcount,1,1,1,1,1,1,1,1,2,2,2,2,2
Yondr,TECHNOLOGY,Separations,,,,,,,,,,,,,
Yondr,TECHNOLOGY,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yondr,TECHNOLOGY,CSAT,,,,,,,,,,5.00,5.00,5.00,5.00
Yondr,TECHNOLOGY,YTD Claims,,,,,,,,,,,,,
Yondr,TECHNOLOGY,YTD Recordables,,,,,,,,,,,,,
Yondr,TECHNOLOGY,TRIR,,,,,,,,,,,,,
