Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Lonza Biologics,LIFE SCIENCE,Revenue ($),882,859,831,851,878,856,849,865,843,850,857,871,1483
Lonza Biologics,LIFE SCIENCE,Growth (%),0.0,-2.6,-5.8,-3.5,-0.5,-3.0,-3.7,-1.9,-4.5,-3.6,-2.8,-1.2,68.1
Lonza Biologics,LIFE SCIENCE,Gap ($),,,,,,,,,,,,,-3
Lonza Biologics,LIFE SCIENCE,Red Sites ($),,,,,,,,,,,,,-3
Lonza Biologics,LIFE SCIENCE,Red Sites (#),,,,,,,,,,,,,1
Lonza Biologics,LIFE SCIENCE,Headcount,82,82,85,86,84,85,87,87,85,85,84,83,82
Lonza Biologics,LIFE SCIENCE,Separations,1,1,,1,,,1,,1,,,,1
Lonza Biologics,LIFE SCIENCE,Turnover (%),1.2,1.2,0.0,1.2,0.0,0.0,1.1,0.0,1.2,0.0,0.0,0.0,1.2
Lonza Biologics,LIFE SCIENCE,CSAT,4.69,4.92,4.95,4.94,4.92,4.94,4.90,4.95,4.95,4.88,4.95,5.00,4.95
Lonza Biologics,LIFE SCIENCE,YTD Claims,1,,,,,,,1,1,1,1,2,2
Lonza Biologics,LIFE SCIENCE,YTD Recordables,1,,,,,,,1,1,1,1,1,1
Lonza Biologics,LIFE SCIENCE,TRIR,3.87,,,,,,,1.83,1.60,1.43,1.28,1.17,1.08
Genentech,LIFE SCIENCE,Revenue ($),269,262,221,255,287,269,297,270,251,285,286,278,276
Genentech,LIFE SCIENCE,Growth (%),0.0,-2.7,-17.8,-5.1,6.7,-0.1,10.4,0.3,-6.5,6.1,6.2,3.5,2.8
Genentech,LIFE SCIENCE,Gap ($),,-0,,,,,,,,,,,-0
Genentech,LIFE SCIENCE,Red Sites ($),-6,-4,,,,,,,-0,,,,-0
Genentech,LIFE SCIENCE,Red Sites (#),1,2,,,,,,,1,,,,1
Genentech,LIFE SCIENCE,Headcount,31,33,32,31,33,32,33,33,32,32,33,32,31
Genentech,LIFE SCIENCE,Separations,1,,1,2,,,,,1,1,,,
Genentech,LIFE SCIENCE,Turnover (%),3.2,0.0,3.1,6.5,0.0,0.0,0.0,0.0,3.1,3.1,0.0,0.0,0.0
Genentech,LIFE SCIENCE,CSAT,4.82,5.00,5.00,5.00,5.00,5.00,4.88,5.00,5.00,5.00,5.00,5.00,5.00
Genentech,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Genentech,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Genentech,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
