Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
General Dynamics,MANUFACTURING,Revenue ($),272,274,274,276,275,274,286,277,278,277,274,275,283
General Dynamics,MANUFACTURING,Growth (%),0.0,0.7,0.8,1.3,1.2,0.8,5.0,1.9,2.2,1.9,0.7,1.1,4.1
General Dynamics,MANUFACTURING,Gap ($),,,,,,,,,-1,-0,-1,,
General Dynamics,MANUFACTURING,Red Sites ($),-8,-8,-7,-7,-8,-10,-5,-8,-11,-10,-13,-3,-5
General Dynamics,MANUFACTURING,Red Sites (#),6,3,3,3,3,3,2,4,4,4,4,4,3
General Dynamics,MANUFACTURING,Headcount,43,46,46,46,47,49,48,50,49,48,47,47,47
General Dynamics,MANUFACTURING,Separations,,1,1,,,,1,1,,1,,,1
General Dynamics,MANUFACTURING,Turnover (%),0.0,2.2,2.2,0.0,0.0,0.0,2.1,2.0,0.0,2.1,0.0,0.0,2.1
General Dynamics,MANUFACTURING,CSAT,4.96,4.88,4.90,4.78,4.66,4.75,4.80,4.77,4.76,4.60,4.31,4.50,4.58
General Dynamics,MANUFACTURING,YTD Claims,,,,,,,,,,,,,
General Dynamics,MANUFACTURING,YTD Recordables,,,,,,,,,,,,,
General Dynamics,MANUFACTURING,TRIR,,,,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,Revenue ($),84,,,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,Growth (%),0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Bombardier Learjet,MANUFACTURING,Gap ($),,-12,-0,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,Red Sites ($),,-12,-0,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,Red Sites (#),,1,1,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,Headcount,1,,,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,Separations,,1,,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bombardier Learjet,MANUFACTURING,CSAT,,,,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,YTD Claims,2,,,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,YTD Recordables,2,,,,,,,,,,,,
Bombardier Learjet,MANUFACTURING,TRIR,15.07,,,,,,,,,,,,
Northrop Grumman,MANUFACTURING,Revenue ($),77,78,74,91,207,204,214,205,207,226,208,215,212
Northrop Grumman,MANUFACTURING,Growth (%),0.0,1.6,-3.1,18.3,170.5,166.1,179.4,167.0,169.4,194.8,171.8,180.3,176.1
Northrop Grumman,MANUFACTURING,Gap ($),,,-2,,-3,,,,,,,,
Northrop Grumman,MANUFACTURING,Red Sites ($),,,-2,-3,-4,-8,-4,-3,-3,-2,-3,-7,-2
Northrop Grumman,MANUFACTURING,Red Sites (#),,,1,3,4,3,4,4,3,4,3,4,2
Northrop Grumman,MANUFACTURING,Headcount,13,13,13,32,35,34,34,34,34,35,35,34,34
Northrop Grumman,MANUFACTURING,Separations,,,,1,1,1,1,,1,,1,2,
Northrop Grumman,MANUFACTURING,Turnover (%),0.0,0.0,0.0,3.1,2.9,2.9,2.9,0.0,2.9,0.0,2.9,5.9,0.0
Northrop Grumman,MANUFACTURING,CSAT,4.50,5.00,4.92,4.04,4.20,4.55,4.25,4.78,4.57,4.71,4.57,4.75,4.66
Northrop Grumman,MANUFACTURING,YTD Claims,,,,,,,1,1,1,1,1,1,1
Northrop Grumman,MANUFACTURING,YTD Recordables,,,,,,,1,1,1,1,1,1,1
Northrop Grumman,MANUFACTURING,TRIR,,,,,,,8.26,6.65,5.66,4.87,4.26,3.86,3.50
