Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Gilead Sciences,LIFE SCIENCE,Revenue ($),1359,1240,1183,1204,1158,1135,1140,1151,1128,1139,1195,1133,1215
Gilead Sciences,LIFE SCIENCE,Growth (%),0.0,-8.8,-13.0,-11.4,-14.8,-16.5,-16.1,-15.3,-17.0,-16.2,-12.1,-16.7,-10.6
Gilead Sciences,LIFE SCIENCE,Gap ($),,,,,,,,,,-0,,,
Gilead Sciences,LIFE SCIENCE,Red Sites ($),-0,,,-0,-0,,,,,-2,-3,-1,-5
Gilead Sciences,LIFE SCIENCE,Red Sites (#),1,,,1,1,,,,,2,1,1,2
Gilead Sciences,LIFE SCIENCE,Headcount,154,154,151,141,141,141,140,139,138,135,150,147,146
Gilead Sciences,LIFE SCIENCE,Separations,4,3,2,3,2,5,4,2,3,5,3,2,
Gilead Sciences,LIFE SCIENCE,Turnover (%),2.6,1.9,1.3,2.1,1.4,3.5,2.9,1.4,2.2,3.7,2.0,1.4,0.0
Gilead Sciences,LIFE SCIENCE,CSAT,4.72,4.70,4.72,4.83,4.46,4.74,4.74,4.70,4.71,4.47,4.49,4.70,4.72
Gilead Sciences,LIFE SCIENCE,YTD Claims,2,,1,1,1,1,2,2,2,3,3,3,3
Gilead Sciences,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Gilead Sciences,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
Avid Biodevices,LIFE SCIENCE,Revenue ($),95,86,86,75,90,86,74,68,86,66,85,86,71
Avid Biodevices,LIFE SCIENCE,Growth (%),0.0,-9.7,-9.7,-21.0,-5.5,-8.9,-22.4,-27.8,-9.4,-30.5,-10.5,-8.9,-25.6
Avid Biodevices,LIFE SCIENCE,Gap ($),,,,-2,-2,-2,-3,-3,,,-3,,-1
Avid Biodevices,LIFE SCIENCE,Red Sites ($),,,,-2,-2,-2,-3,-3,,,-3,,-1
Avid Biodevices,LIFE SCIENCE,Red Sites (#),,,,1,1,1,1,1,,,1,,1
Avid Biodevices,LIFE SCIENCE,Headcount,16,15,15,15,16,15,11,11,10,12,10,13,13
Avid Biodevices,LIFE SCIENCE,Separations,,1,,,,1,,,1,,,,
Avid Biodevices,LIFE SCIENCE,Turnover (%),0.0,6.7,0.0,0.0,0.0,6.7,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Avid Biodevices,LIFE SCIENCE,CSAT,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,
Avid Biodevices,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Avid Biodevices,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Avid Biodevices,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
