Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Boeing Company,MANUFACTURING,Revenue ($),847,838,828,884,920,971,974,965,1011,990,989,983,1002
Boeing Company,MANUFACTURING,Growth (%),0.0,-1.1,-2.2,4.4,8.7,14.6,15.1,14.0,19.4,16.9,16.8,16.1,18.3
Boeing Company,MANUFACTURING,Gap ($),,,,,,,,,,-1,,,
Boeing Company,MANUFACTURING,Red Sites ($),-29,-11,-12,-28,-26,-11,-15,-9,-22,-47,-20,-19,-33
Boeing Company,MANUFACTURING,Red Sites (#),6,6,7,8,9,6,8,7,11,7,4,6,7
Boeing Company,MANUFACTURING,Headcount,140,138,132,142,143,149,152,152,154,154,158,157,152
Boeing Company,MANUFACTURING,Separations,2,6,2,6,6,2,,3,1,3,7,4,4
Boeing Company,MANUFACTURING,Turnover (%),1.4,4.3,1.5,4.2,4.2,1.3,0.0,2.0,0.6,1.9,4.4,2.5,2.6
Boeing Company,MANUFACTURING,CSAT,4.48,4.50,4.30,3.72,4.41,4.54,4.35,4.35,4.44,4.38,4.50,4.64,4.62
Boeing Company,MANUFACTURING,YTD Claims,5,,,,,1,2,2,2,2,2,2,2
Boeing Company,MANUFACTURING,YTD Recordables,4,,,,,,1,1,1,1,1,1,1
Boeing Company,MANUFACTURING,TRIR,3.48,,,,,,1.54,1.30,1.11,0.98,0.87,0.79,0.72
