Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Organon,LIFE SCIENCE,Revenue ($),7,6,6,6,6,6,6,6,6,6,6,6,7
Organon,LIFE SCIENCE,Growth (%),0.0,-14.5,-14.5,-14.5,-14.5,-10.7,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,-1.7
Organon,LIFE SCIENCE,Gap ($),,,,,,,,,,,,,
Organon,LIFE SCIENCE,Red Sites ($),,,,,,,,,,,,,
Organon,LIFE SCIENCE,Red Sites (#),,,,,,,,,,,,,
Organon,LIFE SCIENCE,Headcount,,,,,,1,1,1,1,1,1,1,
Organon,LIFE SCIENCE,Separations,,,,,,,,,,,,,
Organon,LIFE SCIENCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Organon,LIFE SCIENCE,CSAT,,,,,,,,5.00,,,4.25,,
Organon,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Organon,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Organon,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
