Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Sikorsky,MANUFACTURING,Revenue ($),1,-3,,,,,,,,,,,
Sikorsky,MANUFACTURING,Growth (%),0.0,-500.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Sikorsky,MANUFACTURING,Gap ($),-1,-3,-1,-1,-1,-1,-0,,,,,,
Sikorsky,MANUFACTURING,Red Sites ($),-1,-3,-1,-1,-1,-1,-0,,,,,,
Sikorsky,MANUFACTURING,Red Sites (#),1,1,1,1,1,1,1,,,,,,
Sikorsky,MANUFACTURING,Headcount,,,,,,,,,,,,,
Sikorsky,MANUFACTURING,Separations,,,,,,,,,,,,,
Sikorsky,MANUFACTURING,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sikorsky,MANUFACTURING,CSAT,,,,,,,,,,,,,
Sikorsky,MANUFACTURING,YTD Claims,,,,,,,,,,,,,
Sikorsky,MANUFACTURING,YTD Recordables,,,,,,,,,,,,,
Sikorsky,MANUFACTURING,TRIR,,,,,,,,,,,,,
