Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Textron Aviation,MANUFACTURING,Revenue ($),1563,1412,1437,1362,1307,1327,1387,1373,1372,1343,1361,1337,1504
Textron Aviation,MANUFACTURING,Growth (%),0.0,-9.7,-8.1,-12.9,-16.4,-15.1,-11.3,-12.1,-12.2,-14.1,-12.9,-14.5,-3.8
Textron Aviation,MANUFACTURING,Gap ($),,,,,,,,,,,,,
Textron Aviation,MANUFACTURING,Red Sites ($),-13,-17,-9,-11,-4,-7,-13,-10,-10,-6,-5,-5,-6
Textron Aviation,MANUFACTURING,Red Sites (#),9,8,6,7,6,7,8,6,7,3,6,2,3
Textron Aviation,MANUFACTURING,Headcount,228,213,210,214,214,210,211,217,218,218,211,211,207
Textron Aviation,MANUFACTURING,Separations,3,2,3,3,1,6,8,2,2,3,3,3,4
Textron Aviation,MANUFACTURING,Turnover (%),1.3,0.9,1.4,1.4,0.5,2.9,3.8,0.9,0.9,1.4,1.4,1.4,1.9
Textron Aviation,MANUFACTURING,CSAT,4.66,4.47,4.69,4.64,4.82,4.54,4.68,4.60,4.71,4.59,4.63,4.76,4.66
Textron Aviation,MANUFACTURING,YTD Claims,,1,2,2,2,2,2,2,2,2,2,2,2
Textron Aviation,MANUFACTURING,YTD Recordables,,1,2,2,2,2,2,2,2,2,2,2,2
Textron Aviation,MANUFACTURING,TRIR,,5.70,5.99,3.95,2.91,2.34,1.94,1.65,1.45,1.27,1.14,1.05,0.97
Spirit Aerosystems,MANUFACTURING,Revenue ($),375,343,328,316,335,333,350,336,355,354,410,375,406
Spirit Aerosystems,MANUFACTURING,Growth (%),0.0,-8.5,-12.7,-15.8,-10.7,-11.3,-6.7,-10.5,-5.4,-5.7,9.4,-0.1,8.1
Spirit Aerosystems,MANUFACTURING,Gap ($),,,,,,,,,,,,,
Spirit Aerosystems,MANUFACTURING,Red Sites ($),,,,,,,,,,,,,
Spirit Aerosystems,MANUFACTURING,Red Sites (#),,,,,,,,,,,,,
Spirit Aerosystems,MANUFACTURING,Headcount,36,39,37,34,34,37,38,37,38,39,34,37,37
Spirit Aerosystems,MANUFACTURING,Separations,3,1,2,5,2,2,4,3,,1,5,,2
Spirit Aerosystems,MANUFACTURING,Turnover (%),8.3,2.6,5.4,14.7,5.9,5.4,10.5,8.1,0.0,2.6,14.7,0.0,5.4
Spirit Aerosystems,MANUFACTURING,CSAT,5.00,5.00,4.25,4.50,4.63,4.92,4.88,5.00,4.75,5.00,5.00,4.63,5.00
Spirit Aerosystems,MANUFACTURING,YTD Claims,1,,,1,1,1,1,1,1,1,1,1,1
Spirit Aerosystems,MANUFACTURING,YTD Recordables,,,,1,1,1,1,1,1,1,1,1,1
Spirit Aerosystems,MANUFACTURING,TRIR,,,,10.89,8.16,6.51,5.40,4.61,4.01,3.54,3.15,2.98,2.73
