Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
General Electric,MANUFACTURING,Revenue ($),410,460,456,462,455,462,452,470,484,634,666,681,708
General Electric,MANUFACTURING,Growth (%),0.0,12.1,11.3,12.7,11.0,12.8,10.3,14.8,18.2,54.8,62.5,66.2,72.9
General Electric,MANUFACTURING,Gap ($),,,,,,,,,,,,,
General Electric,MANUFACTURING,Red Sites ($),-3,-2,-6,-1,-1,-2,-1,-2,-7,-7,-5,-4,-8
General Electric,MANUFACTURING,Red Sites (#),4,3,5,3,3,5,4,3,6,2,5,4,8
General Electric,MANUFACTURING,Headcount,83,82,82,87,81,83,81,78,85,116,120,125,127
General Electric,MANUFACTURING,Separations,,,2,2,6,1,3,5,4,3,2,2,1
General Electric,MANUFACTURING,Turnover (%),0.0,0.0,2.4,2.3,7.4,1.2,3.7,6.4,4.7,2.6,1.7,1.6,0.8
General Electric,MANUFACTURING,CSAT,4.58,4.90,4.50,4.50,4.75,4.69,4.60,4.67,4.54,4.54,4.47,4.61,4.47
General Electric,MANUFACTURING,YTD Claims,1,,,,,,,,,,,,
General Electric,MANUFACTURING,YTD Recordables,,,,,,,,,,,,,
General Electric,MANUFACTURING,TRIR,,,,,,,,,,,,,
Hyliion,MANUFACTURING,Revenue ($),14,14,14,14,14,14,13,14,14,14,14,14,14
Hyliion,MANUFACTURING,Growth (%),0.0,-4.7,-4.7,-4.7,-4.7,-4.7,-7.6,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7
Hyliion,MANUFACTURING,Gap ($),,,,,,-0,,,,,-1,,-0
Hyliion,MANUFACTURING,Red Sites ($),,,,,,-0,,,,,-1,,-0
Hyliion,MANUFACTURING,Red Sites (#),,,,,,1,,,,,1,,1
Hyliion,MANUFACTURING,Headcount,1,1,1,1,1,1,1,1,1,1,1,1,1
Hyliion,MANUFACTURING,Separations,,,,,,,,,,,,,
Hyliion,MANUFACTURING,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyliion,MANUFACTURING,CSAT,,5.00,,,,5.00,,,,5.00,5.00,5.00,
Hyliion,MANUFACTURING,YTD Claims,,,,,,,,,,,,,
Hyliion,MANUFACTURING,YTD Recordables,,,,,,,,,,,,,
Hyliion,MANUFACTURING,TRIR,,,,,,,,,,,,,
GE Power,MANUFACTURING,Revenue ($),106,110,105,105,105,105,105,105,105,42,105,109,109
GE Power,MANUFACTURING,Growth (%),0.0,4.2,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-60.6,-0.8,2.9,3.4
GE Power,MANUFACTURING,Gap ($),,,,,,,,,-3,,-2,,
GE Power,MANUFACTURING,Red Sites ($),,,,,,,,,-3,,-2,,
GE Power,MANUFACTURING,Red Sites (#),,,,,,,,,1,,1,,
GE Power,MANUFACTURING,Headcount,15,16,15,16,14,14,18,14,19,18,19,19,18
GE Power,MANUFACTURING,Separations,,1,1,2,3,2,2,2,5,3,1,,1
GE Power,MANUFACTURING,Turnover (%),0.0,6.3,6.7,12.5,21.4,14.3,11.1,14.3,26.3,16.7,5.3,0.0,5.6
GE Power,MANUFACTURING,CSAT,4.38,3.88,4.50,,4.50,4.25,,4.30,2.33,3.75,3.71,3.81,4.50
GE Power,MANUFACTURING,YTD Claims,,,,,,,,,,,,,
GE Power,MANUFACTURING,YTD Recordables,,,,,,,,,,,,,
GE Power,MANUFACTURING,TRIR,,,,,,,,,,,,,
