Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Takeda Pharmaceutical,LIFE SCIENCE,Revenue ($),946,979,903,908,928,968,948,970,924,945,963,883,933
Takeda Pharmaceutical,LIFE SCIENCE,Growth (%),0.0,3.5,-4.5,-4.0,-1.9,2.4,0.2,2.6,-2.4,-0.1,1.7,-6.6,-1.4
Takeda Pharmaceutical,LIFE SCIENCE,Gap ($),,,-3,-2,-14,-13,,-9,-9,-16,-85,-31,-9
Takeda Pharmaceutical,LIFE SCIENCE,Red Sites ($),-4,-5,-16,-13,-16,-16,-8,-13,-14,-20,-93,-35,-23
Takeda Pharmaceutical,LIFE SCIENCE,Red Sites (#),2,2,3,3,4,3,3,3,4,4,4,3,3
Takeda Pharmaceutical,LIFE SCIENCE,Headcount,131,126,128,127,127,127,128,127,128,127,125,124,123
Takeda Pharmaceutical,LIFE SCIENCE,Separations,,1,,2,1,,,,1,1,,,
Takeda Pharmaceutical,LIFE SCIENCE,Turnover (%),0.0,0.8,0.0,1.6,0.8,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0
Takeda Pharmaceutical,LIFE SCIENCE,CSAT,4.51,4.00,4.04,4.25,4.38,4.19,4.29,4.41,4.25,4.69,4.69,4.30,4.42
Takeda Pharmaceutical,LIFE SCIENCE,YTD Claims,,,,,2,2,2,2,2,2,2,2,2
Takeda Pharmaceutical,LIFE SCIENCE,YTD Recordables,,,,,2,2,2,2,2,2,2,2,2
Takeda Pharmaceutical,LIFE SCIENCE,TRIR,,,,,5.37,4.28,3.58,3.07,2.69,2.39,2.14,1.97,1.82
