Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Procter & Gamble Company,MANUFACTURING,Revenue ($),892,804,765,819,817,823,864,799,797,806,815,759,733
Procter & Gamble Company,MANUFACTURING,Growth (%),0.0,-9.9,-14.3,-8.2,-8.4,-7.7,-3.1,-10.5,-10.6,-9.7,-8.7,-14.9,-17.8
Procter & Gamble Company,MANUFACTURING,Gap ($),,,,,,,,,,,,,
Procter & Gamble Company,MANUFACTURING,Red Sites ($),,,,,-4,-4,-2,,,,,,
Procter & Gamble Company,MANUFACTURING,Red Sites (#),,,,,1,1,1,,,,,,
Procter & Gamble Company,MANUFACTURING,Headcount,125,126,121,120,117,116,118,118,118,117,113,113,113
Procter & Gamble Company,MANUFACTURING,Separations,2,3,2,1,3,1,,2,,1,2,,2
Procter & Gamble Company,MANUFACTURING,Turnover (%),1.6,2.4,1.7,0.8,2.6,0.9,0.0,1.7,0.0,0.9,1.8,0.0,1.8
Procter & Gamble Company,MANUFACTURING,CSAT,4.20,4.30,4.25,4.05,4.30,4.40,4.40,4.28,4.35,4.50,4.45,4.38,4.35
Procter & Gamble Company,MANUFACTURING,YTD Claims,,,,,,,,,,1,1,1,1
Procter & Gamble Company,MANUFACTURING,YTD Recordables,,,,,,,,,,,,,
Procter & Gamble Company,MANUFACTURING,TRIR,,,,,,,,,,,,,
