Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Bio-Rad Laboratories,LIFE SCIENCE,Revenue ($),233,208,192,221,178,195,178,175,181,196,181,175,190
Bio-Rad Laboratories,LIFE SCIENCE,Growth (%),0.0,-10.7,-17.3,-5.3,-23.6,-16.4,-23.5,-24.8,-22.3,-15.7,-22.2,-24.7,-18.6
Bio-Rad Laboratories,LIFE SCIENCE,Gap ($),,,-5,,-3,-5,,,,,-3,,
Bio-Rad Laboratories,LIFE SCIENCE,Red Sites ($),-1,,-6,-1,-4,-6,-1,-0,-0,,-4,,
Bio-Rad Laboratories,LIFE SCIENCE,Red Sites (#),1,,2,1,2,2,1,1,1,,1,,
Bio-Rad Laboratories,LIFE SCIENCE,Headcount,19,20,20,20,20,19,19,19,20,21,22,22,21
Bio-Rad Laboratories,LIFE SCIENCE,Separations,,,,,,1,,,,,2,1,
Bio-Rad Laboratories,LIFE SCIENCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,9.1,4.5,0.0
Bio-Rad Laboratories,LIFE SCIENCE,CSAT,4.19,4.00,4.00,4.13,4.25,4.50,4.32,4.25,4.50,4.01,4.00,4.00,4.50
Bio-Rad Laboratories,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Bio-Rad Laboratories,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Bio-Rad Laboratories,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
