Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Cardinal Health,LIFE SCIENCE,Revenue ($),220,223,224,224,226,215,199,196,222,194,193,198,196
Cardinal Health,LIFE SCIENCE,Growth (%),0.0,1.4,1.9,1.9,2.6,-2.4,-9.5,-11.0,1.1,-12.0,-12.2,-10.2,-10.7
Cardinal Health,LIFE SCIENCE,Gap ($),,,,,,,-6,-0,-7,-3,-6,,
Cardinal Health,LIFE SCIENCE,Red Sites ($),-12,-9,-10,-11,-9,-9,-16,-10,-13,-9,-12,-5,-8
Cardinal Health,LIFE SCIENCE,Red Sites (#),13,12,13,13,12,11,12,9,11,9,10,6,7
Cardinal Health,LIFE SCIENCE,Headcount,34,34,34,33,35,32,31,31,31,32,29,29,29
Cardinal Health,LIFE SCIENCE,Separations,1,,1,1,,,,,,1,2,,
Cardinal Health,LIFE SCIENCE,Turnover (%),2.9,0.0,2.9,3.0,0.0,0.0,0.0,0.0,0.0,3.1,6.9,0.0,0.0
Cardinal Health,LIFE SCIENCE,CSAT,4.47,4.48,4.69,4.11,4.64,4.68,4.63,4.84,4.72,4.79,4.55,4.83,4.46
Cardinal Health,LIFE SCIENCE,YTD Claims,1,,,,,,,,,,,,
Cardinal Health,LIFE SCIENCE,YTD Recordables,1,,,,,,,,,,,,
Cardinal Health,LIFE SCIENCE,TRIR,2.49,,,,,,,,,,,,
IQVIA Biotech,LIFE SCIENCE,Revenue ($),55,69,67,72,77,73,76,72,73,72,76,78,79
IQVIA Biotech,LIFE SCIENCE,Growth (%),0.0,26.7,22.3,30.9,40.1,33.1,38.1,30.7,33.2,32.0,38.2,41.9,44.4
IQVIA Biotech,LIFE SCIENCE,Gap ($),-2,-3,-0,-3,-1,-1,-1,,-2,,,,-1
IQVIA Biotech,LIFE SCIENCE,Red Sites ($),-2,-3,-1,-3,-1,-2,-1,-0,-2,-0,-1,-1,-4
IQVIA Biotech,LIFE SCIENCE,Red Sites (#),2,2,2,2,3,2,2,2,3,2,3,1,1
IQVIA Biotech,LIFE SCIENCE,Headcount,13,14,15,16,14,14,14,14,17,16,18,18,20
IQVIA Biotech,LIFE SCIENCE,Separations,,2,,,,,,2,,2,,,2
IQVIA Biotech,LIFE SCIENCE,Turnover (%),0.0,14.3,0.0,0.0,0.0,0.0,0.0,14.3,0.0,12.5,0.0,0.0,10.0
IQVIA Biotech,LIFE SCIENCE,CSAT,4.50,4.25,3.63,3.00,4.25,,4.00,4.88,3.75,4.50,4.61,4.42,4.92
IQVIA Biotech,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
IQVIA Biotech,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
IQVIA Biotech,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
McKesson,LIFE SCIENCE,Revenue ($),456,536,590,510,561,593,593,526,532,533,445,480,489
McKesson,LIFE SCIENCE,Growth (%),0.0,17.7,29.4,12.0,23.2,30.1,30.1,15.4,16.8,17.0,-2.4,5.3,7.2
McKesson,LIFE SCIENCE,Gap ($),,,,,,,,,,,,,
McKesson,LIFE SCIENCE,Red Sites ($),-3,-2,-13,-6,-3,-2,-2,-1,-1,-2,-1,-5,-1
McKesson,LIFE SCIENCE,Red Sites (#),5,4,5,3,1,4,2,3,2,3,2,4,2
McKesson,LIFE SCIENCE,Headcount,47,48,56,56,57,57,54,77,72,73,72,73,73
McKesson,LIFE SCIENCE,Separations,1,,,1,2,2,,1,1,1,1,1,2
McKesson,LIFE SCIENCE,Turnover (%),2.1,0.0,0.0,1.8,3.5,3.5,0.0,1.3,1.4,1.4,1.4,1.4,2.7
McKesson,LIFE SCIENCE,CSAT,4.88,5.00,4.88,4.11,5.00,4.80,4.63,4.88,4.61,4.72,4.69,4.79,4.52
McKesson,LIFE SCIENCE,YTD Claims,,,,,,,,1,1,1,2,2,2
McKesson,LIFE SCIENCE,YTD Recordables,,,,,,,,1,1,1,2,2,2
McKesson,LIFE SCIENCE,TRIR,,,,,,,,2.20,1.94,1.71,3.09,2.84,2.62
