Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Chubb Insurance,FINANCE,Revenue ($),113,112,116,112,114,115,116,115,118,117,118,110,119
Chubb Insurance,FINANCE,Growth (%),0.0,-0.4,3.0,-0.3,1.4,1.7,3.2,1.8,4.9,3.6,5.0,-2.3,5.2
Chubb Insurance,FINANCE,Gap ($),-4,,,-1,,,-0,,,,,-3,
Chubb Insurance,FINANCE,Red Sites ($),-4,-3,-1,-2,-1,-1,-1,,,,-0,-5,-0
Chubb Insurance,FINANCE,Red Sites (#),1,1,1,1,1,1,1,,,,1,1,1
Chubb Insurance,FINANCE,Headcount,26,26,26,26,26,26,26,25,25,26,26,25,26
Chubb Insurance,FINANCE,Separations,,,,,,,,,,,,,
Chubb Insurance,FINANCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chubb Insurance,FINANCE,CSAT,4.88,4.88,4.63,4.88,4.88,4.88,4.88,4.88,4.88,4.81,4.88,4.88,4.88
Chubb Insurance,FINANCE,YTD Claims,,,,,,,,,,,,,
Chubb Insurance,FINANCE,YTD Recordables,,,,,,,,,,,,,
Chubb Insurance,FINANCE,TRIR,,,,,,,,,,,,,
