Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Deutsche Bank,FINANCE,Revenue ($),394,384,401,439,396,402,400,409,391,421,421,418,428
Deutsche Bank,FINANCE,Growth (%),0.0,-2.5,1.7,11.5,0.5,2.0,1.4,3.7,-0.8,6.7,6.9,6.0,8.5
Deutsche Bank,FINANCE,Gap ($),-48,-47,-29,-25,-31,-51,-45,-34,-70,-68,-52,-58,-44
Deutsche Bank,FINANCE,Red Sites ($),-48,-47,-29,-25,-31,-51,-45,-34,-70,-68,-52,-58,-44
Deutsche Bank,FINANCE,Red Sites (#),3,2,2,1,2,1,1,1,1,1,1,1,1
Deutsche Bank,FINANCE,Headcount,40,39,40,41,40,43,42,41,43,42,42,41,41
Deutsche Bank,FINANCE,Separations,,,,,,,,,,1,1,,
Deutsche Bank,FINANCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.0,0.0
Deutsche Bank,FINANCE,CSAT,4.00,4.00,3.75,,4.00,4.25,4.00,2.25,4.00,4.00,4.25,4.00,4.00
Deutsche Bank,FINANCE,YTD Claims,,,,,,,,,,,,,
Deutsche Bank,FINANCE,YTD Recordables,,,,,,,,,,,,,
Deutsche Bank,FINANCE,TRIR,,,,,,,,,,,,,
