Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Biogen,LIFE SCIENCE,Revenue ($),672,676,664,692,685,706,696,707,709,728,713,709,705
Biogen,LIFE SCIENCE,Growth (%),0.0,0.5,-1.2,2.9,1.8,4.9,3.5,5.1,5.4,8.3,6.0,5.5,4.8
Biogen,LIFE SCIENCE,Gap ($),,,-11,-13,-10,,-9,-6,-10,,-2,-24,
Biogen,LIFE SCIENCE,Red Sites ($),-0,-1,-11,-13,-10,,-9,-6,-10,-1,-2,-24,-9
Biogen,LIFE SCIENCE,Red Sites (#),1,2,2,2,2,,2,2,2,1,2,2,1
Biogen,LIFE SCIENCE,Headcount,109,109,110,109,112,109,111,113,112,112,118,119,114
Biogen,LIFE SCIENCE,Separations,3,1,1,2,2,3,1,2,1,5,1,3,4
Biogen,LIFE SCIENCE,Turnover (%),2.8,0.9,0.9,1.8,1.8,2.8,0.9,1.8,0.9,4.5,0.8,2.5,3.5
Biogen,LIFE SCIENCE,CSAT,4.51,4.63,4.81,4.76,4.69,4.41,4.19,4.40,4.61,4.44,4.57,4.51,4.35
Biogen,LIFE SCIENCE,YTD Claims,1,,,,,,,,,,,,
Biogen,LIFE SCIENCE,YTD Recordables,1,,,,,,,,,,,,
Biogen,LIFE SCIENCE,TRIR,1.03,,,,,,,,,,,,
