Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
MetLife Insurance,FINANCE,Revenue ($),18,158,161,159,162,158,160,156,165,159,169,166,165
MetLife Insurance,FINANCE,Growth (%),0.0,768.7,785.7,775.6,789.8,765.8,779.7,754.8,809.0,775.3,827.8,813.1,807.0
MetLife Insurance,FINANCE,Gap ($),-0,-16,-11,-14,-10,,-4,-7,-6,-10,-8,-8,-20
MetLife Insurance,FINANCE,Red Sites ($),-0,-16,-11,-14,-11,-1,-4,-7,-6,-10,-8,-9,-22
MetLife Insurance,FINANCE,Red Sites (#),1,2,2,2,1,1,2,1,2,2,2,1,1
MetLife Insurance,FINANCE,Headcount,41,40,42,42,40,38,38,38,38,38,37,37,37
MetLife Insurance,FINANCE,Separations,,1,,,1,,,,,,,,
MetLife Insurance,FINANCE,Turnover (%),0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MetLife Insurance,FINANCE,CSAT,,5.00,5.00,4.75,4.81,4.81,4.63,4.50,4.77,4.63,4.63,4.69,4.58
MetLife Insurance,FINANCE,YTD Claims,,,,,,,,,,,,,
MetLife Insurance,FINANCE,YTD Recordables,,,,,,,,,,,,,
MetLife Insurance,FINANCE,TRIR,,,,,,,,,,,,,
