Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Adobe Systems,TECHNOLOGY,Revenue ($),,,,109,112,106,110,810,783,748,759,757,855
Adobe Systems,TECHNOLOGY,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adobe Systems,TECHNOLOGY,Gap ($),,,,-21,-29,-43,-32,,,-105,-68,-107,-94
Adobe Systems,TECHNOLOGY,Red Sites ($),,,,-21,-29,-43,-32,-32,-32,-105,-68,-107,-94
Adobe Systems,TECHNOLOGY,Red Sites (#),,,,1,1,2,3,2,2,5,5,5,5
Adobe Systems,TECHNOLOGY,Headcount,,,27,24,27,26,104,106,110,107,106,110,106
Adobe Systems,TECHNOLOGY,Separations,,,,1,,1,1,1,1,3,,4,4
Adobe Systems,TECHNOLOGY,Turnover (%),0.0,0.0,0.0,4.2,0.0,3.8,1.0,0.9,0.9,2.8,0.0,3.6,3.8
Adobe Systems,TECHNOLOGY,CSAT,,,,,,,,4.50,4.31,4.19,4.44,4.25,4.63
Adobe Systems,TECHNOLOGY,YTD Claims,,,,,,,,,,,,,
Adobe Systems,TECHNOLOGY,YTD Recordables,,,,,,,,,,,,,
Adobe Systems,TECHNOLOGY,TRIR,,,,,,,,,,,,,
