Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Thomson Reuters Corp,FINANCE,Revenue ($),33,24,23,23,23,23,23,23,23,23,23,31,23
Thomson Reuters Corp,FINANCE,Growth (%),0.0,-26.3,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-6.2,-30.0
Thomson Reuters Corp,FINANCE,Gap ($),,,,,,,,,,,,,
Thomson Reuters Corp,FINANCE,Red Sites ($),,,,,,,,,,,,,
Thomson Reuters Corp,FINANCE,Red Sites (#),,,,,,,,,,,,,
Thomson Reuters Corp,FINANCE,Headcount,,,,,,,,,,2,3,3,3
Thomson Reuters Corp,FINANCE,Separations,,,,,,,,,,1,,,
Thomson Reuters Corp,FINANCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Thomson Reuters Corp,FINANCE,CSAT,,5.00,,,5.00,,,4.75,,5.00,4.25,4.00,4.75
Thomson Reuters Corp,FINANCE,YTD Claims,,,,,,,,,,,,,
Thomson Reuters Corp,FINANCE,YTD Recordables,,,,,,,,,,,,,
Thomson Reuters Corp,FINANCE,TRIR,,,,,,,,,,,,,
