Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Moderna Biotechnology Company,LIFE SCIENCE,Revenue ($),1,1,1,1,1,1,1,1,1,1,1,1,
Moderna Biotechnology Company,LIFE SCIENCE,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0
Moderna Biotechnology Company,LIFE SCIENCE,Gap ($),-0,-4,-2,-3,-2,-1,-1,,,-0,,,
Moderna Biotechnology Company,LIFE SCIENCE,Red Sites ($),-0,-4,-2,-3,-2,-1,-1,,,-0,-0,,
Moderna Biotechnology Company,LIFE SCIENCE,Red Sites (#),1,1,1,1,1,1,1,,,1,1,,
Moderna Biotechnology Company,LIFE SCIENCE,Headcount,,,,,,,,,,,,,
Moderna Biotechnology Company,LIFE SCIENCE,Separations,,,,,,,,,,,,,
Moderna Biotechnology Company,LIFE SCIENCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moderna Biotechnology Company,LIFE SCIENCE,CSAT,,,,,,,,,,,,,
Moderna Biotechnology Company,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Moderna Biotechnology Company,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Moderna Biotechnology Company,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
Sanofi,LIFE SCIENCE,Revenue ($),,1243,1229,1286,1329,1339,1303,1265,1209,1240,1269,1246,1257
Sanofi,LIFE SCIENCE,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sanofi,LIFE SCIENCE,Gap ($),-1,-49,-49,-7,,,-12,,-17,-3,-18,-15,
Sanofi,LIFE SCIENCE,Red Sites ($),-1,-54,-52,-25,-19,-15,-34,-22,-37,-28,-33,-37,-18
Sanofi,LIFE SCIENCE,Red Sites (#),5,5,5,4,2,3,5,4,4,4,5,4,2
Sanofi,LIFE SCIENCE,Headcount,179,203,200,214,211,208,201,196,194,191,193,190,188
Sanofi,LIFE SCIENCE,Separations,1,4,1,1,4,3,2,3,,2,2,1,1
Sanofi,LIFE SCIENCE,Turnover (%),0.6,2.0,0.5,0.5,1.9,1.4,1.0,1.5,0.0,1.0,1.0,0.5,0.5
Sanofi,LIFE SCIENCE,CSAT,,5.00,4.04,4.28,4.09,4.11,3.97,4.17,4.23,4.24,4.11,3.97,4.16
Sanofi,LIFE SCIENCE,YTD Claims,,,,,1,2,2,2,3,3,4,4,5
Sanofi,LIFE SCIENCE,YTD Recordables,,,,,,1,1,1,2,2,2,2,3
Sanofi,LIFE SCIENCE,TRIR,,,,,,1.33,1.11,0.96,1.68,1.51,1.35,1.24,1.74
