Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Micron Tech,MANUFACTURING,Revenue ($),896,906,924,932,954,1059,926,1060,935,1131,1133,1111,1171
Micron Tech,MANUFACTURING,Growth (%),0.0,1.1,3.1,4.0,6.4,18.2,3.3,18.2,4.3,26.2,26.4,24.0,30.7
Micron Tech,MANUFACTURING,Gap ($),,,,,,,-22,,,,,,
Micron Tech,MANUFACTURING,Red Sites ($),-4,-1,-2,-4,,-2,-22,-6,-9,,,,
Micron Tech,MANUFACTURING,Red Sites (#),1,1,1,1,,1,4,1,3,,,,
Micron Tech,MANUFACTURING,Headcount,151,152,146,158,153,158,174,168,169,181,189,187,185
Micron Tech,MANUFACTURING,Separations,3,1,3,1,5,2,2,4,3,2,2,3,1
Micron Tech,MANUFACTURING,Turnover (%),2.0,0.7,2.1,0.6,3.3,1.3,1.1,2.4,1.8,1.1,1.1,1.6,0.5
Micron Tech,MANUFACTURING,CSAT,4.25,3.85,4.00,3.85,4.06,5.00,4.50,4.63,4.50,4.38,4.47,4.23,4.41
Micron Tech,MANUFACTURING,YTD Claims,,,,,,,,,1,1,1,1,1
Micron Tech,MANUFACTURING,YTD Recordables,,,,,,,,,1,1,1,1,1
Micron Tech,MANUFACTURING,TRIR,,,,,,,,,0.96,0.84,0.74,0.68,0.61
Mp Mask Technology Center,MANUFACTURING,Revenue ($),53,51,54,53,50,55,53,53,53,53,54,52,51
Mp Mask Technology Center,MANUFACTURING,Growth (%),0.0,-4.5,1.3,0.2,-6.8,2.6,-0.8,-0.2,-1.4,-1.0,1.9,-1.5,-3.8
Mp Mask Technology Center,MANUFACTURING,Gap ($),-1,-5,-1,-1,-2,-1,,,,,,-1,
Mp Mask Technology Center,MANUFACTURING,Red Sites ($),-1,-5,-1,-1,-2,-1,,,,,,-1,
Mp Mask Technology Center,MANUFACTURING,Red Sites (#),1,1,1,1,1,1,,,,,,1,
Mp Mask Technology Center,MANUFACTURING,Headcount,11,11,11,11,11,11,11,11,11,11,10,10,11
Mp Mask Technology Center,MANUFACTURING,Separations,,,,,,,,,,,,,
Mp Mask Technology Center,MANUFACTURING,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mp Mask Technology Center,MANUFACTURING,CSAT,4.75,4.75,4.50,4.75,4.50,4.75,4.50,4.25,4.25,3.75,4.25,4.38,4.25
Mp Mask Technology Center,MANUFACTURING,YTD Claims,,,,,,,,,,,,,
Mp Mask Technology Center,MANUFACTURING,YTD Recordables,,,,,,,,,,,,,
Mp Mask Technology Center,MANUFACTURING,TRIR,,,,,,,,,,,,,
