Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
NVIDIA,TECHNOLOGY,Revenue ($),1104,1399,1106,1097,1250,1141,1195,1133,1141,1203,1338,1238,1375
NVIDIA,TECHNOLOGY,Growth (%),0.0,26.7,0.1,-0.7,13.2,3.3,8.2,2.6,3.3,8.9,21.2,12.1,24.5
NVIDIA,TECHNOLOGY,Gap ($),,,,,,,,,,,,,
NVIDIA,TECHNOLOGY,Red Sites ($),,,,,,,,,,,,,-0
NVIDIA,TECHNOLOGY,Red Sites (#),,,,,,,,,,,,,1
NVIDIA,TECHNOLOGY,Headcount,104,108,111,112,111,106,108,115,114,119,119,125,128
NVIDIA,TECHNOLOGY,Separations,,,1,,4,1,2,,2,,2,3,2
NVIDIA,TECHNOLOGY,Turnover (%),0.0,0.0,0.9,0.0,3.6,0.9,1.9,0.0,1.8,0.0,1.7,2.4,1.6
NVIDIA,TECHNOLOGY,CSAT,4.63,4.50,4.75,4.60,4.69,4.83,5.00,4.38,4.70,4.58,4.63,4.56,4.30
NVIDIA,TECHNOLOGY,YTD Claims,,,,1,1,1,1,1,1,1,1,1,1
NVIDIA,TECHNOLOGY,YTD Recordables,,,,,,,,,,,,,
NVIDIA,TECHNOLOGY,TRIR,,,,,,,,,,,,,
