Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Amgen,LIFE SCIENCE,Revenue ($),1319,1377,1374,1439,1460,1463,1414,1436,1455,1433,1500,1508,1493
Amgen,LIFE SCIENCE,Growth (%),0.0,4.4,4.2,9.2,10.7,11.0,7.3,8.9,10.4,8.7,13.8,14.4,13.2
Amgen,LIFE SCIENCE,Gap ($),-38,-0,,,-7,,,,,-3,,,-16
Amgen,LIFE SCIENCE,Red Sites ($),-56,-22,-10,-6,-14,-8,-5,-1,-4,-15,-12,-9,-19
Amgen,LIFE SCIENCE,Red Sites (#),5,3,4,2,4,2,3,1,1,3,2,2,3
Amgen,LIFE SCIENCE,Headcount,178,175,176,182,181,181,187,190,195,196,193,198,197
Amgen,LIFE SCIENCE,Separations,3,1,3,3,1,3,1,4,2,2,8,3,4
Amgen,LIFE SCIENCE,Turnover (%),1.7,0.6,1.7,1.6,0.6,1.7,0.5,2.1,1.0,1.0,4.1,1.5,2.0
Amgen,LIFE SCIENCE,CSAT,4.06,4.43,4.33,4.33,4.23,4.04,4.38,4.26,4.31,4.18,4.24,4.44,4.30
Amgen,LIFE SCIENCE,YTD Claims,2,,,,1,1,1,2,3,3,3,3,3
Amgen,LIFE SCIENCE,YTD Recordables,2,,,,,,,1,1,1,1,1,1
Amgen,LIFE SCIENCE,TRIR,1.12,,,,,,,0.96,0.84,0.74,0.66,0.61,0.56
