Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Edged Energy,TECHNOLOGY,Revenue ($),15,43,32,32,30,36,43,42,42,48,49,64,48
Edged Energy,TECHNOLOGY,Growth (%),0.0,196.2,118.6,119.1,109.1,146.9,197.8,191.6,191.6,232.1,237.9,341.8,232.4
Edged Energy,TECHNOLOGY,Gap ($),,,,,,-0,,,,,-0,,-4
Edged Energy,TECHNOLOGY,Red Sites ($),-1,,-0,-4,-1,-1,-0,-0,-1,-0,-2,-5,-14
Edged Energy,TECHNOLOGY,Red Sites (#),2,,1,1,2,3,1,1,2,1,2,3,3
Edged Energy,TECHNOLOGY,Headcount,3,4,3,4,6,6,7,7,8,9,9,10,11
Edged Energy,TECHNOLOGY,Separations,,,2,,,,,,,,,,
Edged Energy,TECHNOLOGY,Turnover (%),0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edged Energy,TECHNOLOGY,CSAT,5.00,5.00,5.00,5.00,5.00,5.00,,5.00,4.88,4.79,5.00,4.94,4.65
Edged Energy,TECHNOLOGY,YTD Claims,,,,,,,,,,,,,
Edged Energy,TECHNOLOGY,YTD Recordables,,,,,,,,,,,,,
Edged Energy,TECHNOLOGY,TRIR,,,,,,,,,,,,,
