Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Amazon Office,DISTRIBUTION,Revenue ($),,,,,,,,6,2231,2715,2761,2390,2390
Amazon Office,DISTRIBUTION,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon Office,DISTRIBUTION,Gap ($),,,,,,,,,-286,-143,-50,-17,-15
Amazon Office,DISTRIBUTION,Red Sites ($),,,,,,,-0,-0,-301,-155,-118,-50,-156
Amazon Office,DISTRIBUTION,Red Sites (#),,,,,,,1,8,16,17,14,12,15
Amazon Office,DISTRIBUTION,Headcount,,,,,,,,275,294,297,294,299,309
Amazon Office,DISTRIBUTION,Separations,,,,,,,,2,4,9,5,4,4
Amazon Office,DISTRIBUTION,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4,3.0,1.7,1.3,1.3
Amazon Office,DISTRIBUTION,CSAT,,,,,,,,,4.49,4.18,4.29,4.37,4.49
Amazon Office,DISTRIBUTION,YTD Claims,,,,,,,,,,,,,1
Amazon Office,DISTRIBUTION,YTD Recordables,,,,,,,,,,,,,1
Amazon Office,DISTRIBUTION,TRIR,,,,,,,,,,,,,0.82
