Account,Vertical,KPI,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Boehringer Ingelheim,LIFE SCIENCE,Revenue ($),,,,,,,2,584,605,601,687,606,600
Boehringer Ingelheim,LIFE SCIENCE,Growth (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boehringer Ingelheim,LIFE SCIENCE,Gap ($),,,,,,-0,-0,-73,-54,-112,-43,-24,-36
Boehringer Ingelheim,LIFE SCIENCE,Red Sites ($),,,,,,-0,-0,-96,-66,-121,-60,-27,-51
Boehringer Ingelheim,LIFE SCIENCE,Red Sites (#),,,,,,3,5,2,2,2,3,3,2
Boehringer Ingelheim,LIFE SCIENCE,Headcount,,,,,,,88,104,105,100,100,92,91
Boehringer Ingelheim,LIFE SCIENCE,Separations,,,,,,,,4,,4,1,3,1
Boehringer Ingelheim,LIFE SCIENCE,Turnover (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,4.0,1.0,3.3,1.1
Boehringer Ingelheim,LIFE SCIENCE,CSAT,,,,,,,,4.90,4.53,4.15,4.13,4.18,4.00
Boehringer Ingelheim,LIFE SCIENCE,YTD Claims,,,,,,,,,,,,,
Boehringer Ingelheim,LIFE SCIENCE,YTD Recordables,,,,,,,,,,,,,
Boehringer Ingelheim,LIFE SCIENCE,TRIR,,,,,,,,,,,,,
